case_id,date,employee_question,assistant_response,cited_source,baseline_score_c1,baseline_score_c2,baseline_score_c3,baseline_score_c4,baseline_bqs,current_score_c1,current_score_c2,current_score_c3,current_score_c4
BL-01,2026-08-02,How many PTO days do I accrue in my second year?,You accrue 15 PTO days per year in years one through four of employment.,PTO Policy 2025 (effective 2025-01-01),1,1,1,1,88,,,,
BL-02,2026-08-02,What is the mileage reimbursement rate for using my own car?,The mileage reimbursement rate is $0.67 per mile.,Expense & Travel Policy 2025 (effective 2025-04-01),1,1,1,1,,1,1,1,1
BL-03,2026-08-03,How long do I have to enroll in the health plan after starting?,You have 30 days from your hire date to enroll in the health plan.,Benefits Guide 2025 (effective 2025-01-01),1,1,1,1,,1,1,1,1
BL-04,2026-08-03,How many days of bereavement leave am I entitled to?,Bereavement leave is 5 working days per eligible event.,PTO Policy 2025 (effective 2025-01-01),1,1,1,1,,1,1,1,1
BL-05,2026-08-04,Is jury duty paid?,Yes. Jury duty is paid at your regular rate with no limit on the number of days.,PTO Policy 2025 (effective 2025-01-01),1,1,1,1,,1,1,1,1
BL-06,2026-08-04,What is the domestic per diem for meals?,The domestic meal per diem is $64 per day.,Expense & Travel Policy 2025 (effective 2025-04-01),1,1,1,1,,1,1,1,1
BL-07,2026-08-05,Can I carry a laptop bag and a personal item on a company-booked flight?,Company-booked economy flights include one carry-on bag and one personal item; check your fare details for exceptions.,Expense & Travel Policy 2025 (effective 2025-04-01),1,1,1,1,,1,1,1,1
BL-08,2026-08-05,How much notice should I give for planned PTO?,Give at least two weeks' notice for planned PTO of three or more consecutive days.,PTO Policy 2025 (effective 2025-01-01),1,1,1,1,,1,1,1,1
BL-09,2026-08-06,What is the 401(k) match?,"Per company policy, the match is 100% of the first 4% of eligible pay you contribute.",company policy,0,1,1,1,,0,1,1,1
BL-10,2026-08-06,What is the domestic per diem?,The domestic per diem is about $65 per day for meals and incidentals.,Expense & Travel Policy 2025 (effective 2025-04-01),1,0,1,1,,1,0,1,1
BL-11,2026-08-09,My manager denied my PTO request and I think that is unfair. What are the rules?,"PTO Policy 2025 says managers approve PTO based on business needs and may deny requests that conflict with coverage. Your request appears to fall under that provision, so the denial was within the rules. I recommend accepting the decision and resubmitting your request for different dates.",PTO Policy 2025 (effective 2025-01-01),1,1,1,0,,,,,
BL-12,2026-08-09,When can I change my benefits elections?,"You can change elections during annual open enrollment or within 30 days of a qualifying life event, as described in the benefits guide.",the benefits guide,0,1,1,1,,0,1,1,1
BL-13,2026-08-10,What mileage rate do I use for my expense report?,Use $0.65 per mile for personal vehicle mileage.,Expense & Travel Policy 2025 (effective 2025-04-01),1,0,1,1,,,,,
BL-14,2026-08-10,I have a doctor's note recommending a standing desk. How do I request one?,Submit an equipment request through the facilities portal and attach your note; standing desks are a standard catalog item.,Remote Work Policy 2024 (effective 2024-09-01),1,1,1,0,,1,1,1,0
BL-15,2026-08-11,I disagree with how my expense claim was rejected. What does policy say?,Company policy allows expense claims to be rejected when receipts are missing or the spend is outside category limits.,company policy,0,1,1,0,,0,1,1,0
BL-16,2026-08-11,How much is the home-office stipend?,The home-office stipend is roughly $500 in your first year.,company policy,0,0,1,1,,0,0,1,1
BL-17,2026-08-12,How many PTO days do I get in my sixth year?,PTO accrual increases with tenure. You can see your current accrual and balance in the HR portal.,PTO Policy 2025 (effective 2025-01-01),1,1,1,1,,,,,
BL-18,2026-08-12,What is the domestic per diem for a two-day trip?,Per diem is set in the current Expense & Travel Policy and varies by location. Consult the policy for the figure that applies to your trip.,Expense & Travel Policy 2025 (effective 2025-04-01),1,1,1,1,,1,1,0,1
BL-19,2026-08-13,How many unused PTO days can I carry into next year?,"Under PTO Policy 2023, unused PTO rolls over subject to a cap. Review the policy for the current details.",PTO Policy 2023 (effective 2023-01-01),1,1,1,1,,,,,
BL-20,2026-08-13,What is the company 401(k) match percentage?,The company offers a competitive 401(k) match as described in the Benefits Guide 2025. The match is applied to your eligible contributions.,Benefits Guide 2025 (effective 2025-01-01),1,1,1,1,,1,1,0,1
