workflow,quarter,standard_version,case_id,date,employee_question,score_c1,score_c2,score_c3,score_c4,bqs_q2
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-01,2026-04-08,"PTO accrual year two",1,1,1,1,92
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-02,2026-04-15,"Mileage rate",1,1,1,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-03,2026-04-22,"Health enrollment window",1,1,1,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-04,2026-04-29,"Bereavement days",1,1,1,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-05,2026-05-06,"401k match",1,0,1,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-06,2026-05-13,"Per diem domestic",1,1,1,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-07,2026-05-20,"Carryover cap",1,1,0,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-08,2026-05-27,"Disputed PTO denial",1,1,1,0,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-09,2026-06-03,"Jury duty pay",1,1,1,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-10,2026-06-10,"Open enrollment change",1,1,1,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-11,2026-06-17,"Home office stipend",0,1,1,1,
PolicyPal,2026-Q2,"PolicyPal Business Quality Standard v2 (2026-04-10)",Q2-12,2026-06-24,"Notice for planned PTO",1,1,1,1,
