date,week,case_id,case_type,reviewer,ai_decision,human_decision
2026-08-01,W1,RV-0002,travel,R-A,approve,approve
2026-08-01,W1,RV-0008,travel,R-A,approve,approve
2026-08-01,W1,RV-0041,conduct,R-B,route-to-human,approve
2026-08-01,W1,RV-0043,travel,R-B,approve,approve
2026-08-01,W1,RV-0045,conduct,R-B,route-to-human,route-to-human
2026-08-01,W1,RV-0050,expense,R-B,approve,approve
2026-08-01,W1,RV-0082,benefits,R-C,approve,approve
2026-08-01,W1,RV-0121,travel,R-D,approve,approve
2026-08-01,W1,RV-0124,benefits,R-D,reject,reject
2026-08-01,W1,RV-0164,travel,R-E,reject,reject
2026-08-02,W1,RV-0005,conduct,R-A,approve,approve
2026-08-02,W1,RV-0049,benefits,R-B,approve,approve
2026-08-02,W1,RV-0088,travel,R-C,approve,approve
2026-08-02,W1,RV-0126,pto,R-D,approve,approve
2026-08-02,W1,RV-0129,expense,R-D,reject,reject
2026-08-02,W1,RV-0130,pto,R-D,reject,reject
2026-08-02,W1,RV-0165,pto,R-E,route-to-human,route-to-human
2026-08-02,W1,RV-0168,benefits,R-E,approve,approve
2026-08-02,W1,RV-0169,conduct,R-E,approve,reject
2026-08-03,W1,DUP-01a,pto,R-A,approve,approve
2026-08-03,W1,RV-0003,benefits,R-A,approve,approve
2026-08-03,W1,RV-0006,conduct,R-A,route-to-human,route-to-human
2026-08-03,W1,RV-0009,conduct,R-A,approve,approve
2026-08-04,W1,DUP-04a,travel,R-D,reject,reject
2026-08-04,W1,RV-0086,conduct,R-C,approve,approve
2026-08-04,W1,RV-0087,expense,R-C,reject,reject
2026-08-04,W1,RV-0090,pto,R-C,reject,reject
2026-08-04,W1,RV-0123,travel,R-D,approve,approve
2026-08-04,W1,RV-0167,benefits,R-E,route-to-human,route-to-human
2026-08-05,W1,DUP-02a,expense,R-B,approve,reject
2026-08-05,W1,RV-0007,benefits,R-A,reject,reject
2026-08-05,W1,RV-0046,travel,R-B,reject,approve
2026-08-05,W1,RV-0047,travel,R-B,approve,approve
2026-08-05,W1,RV-0048,pto,R-B,approve,approve
2026-08-05,W1,RV-0083,pto,R-C,approve,approve
2026-08-05,W1,RV-0085,expense,R-C,approve,approve
2026-08-05,W1,RV-0127,pto,R-D,approve,approve
2026-08-05,W1,RV-0162,pto,R-E,approve,approve
2026-08-05,W1,RV-0170,expense,R-E,reject,reject
2026-08-06,W1,DUP-03a,benefits,R-C,approve,approve
2026-08-06,W1,RV-0010,travel,R-A,approve,approve
2026-08-06,W1,RV-0044,pto,R-B,approve,approve
2026-08-06,W1,RV-0081,benefits,R-C,approve,approve
2026-08-06,W1,RV-0084,pto,R-C,approve,approve
2026-08-06,W1,RV-0089,travel,R-C,approve,approve
2026-08-06,W1,RV-0128,conduct,R-D,approve,approve
2026-08-06,W1,RV-0163,pto,R-E,approve,approve
2026-08-07,W1,DUP-06a,benefits,R-E,approve,approve
2026-08-07,W1,RV-0001,travel,R-A,approve,approve
2026-08-07,W1,RV-0004,conduct,R-A,approve,approve
2026-08-07,W1,RV-0042,pto,R-B,approve,reject
2026-08-07,W1,RV-0122,pto,R-D,approve,approve
2026-08-07,W1,RV-0125,pto,R-D,approve,reject
2026-08-07,W1,RV-0161,travel,R-E,route-to-human,route-to-human
